Basic Version,,,,,,,,,,
,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Mental Demand,3,13,5,4,10,5,5,1,1,2
Physical Demand,11,18,4,4,3,5,12,1,1,1
Temporal Demand,20,13,10,7,1,3,3,2,1,8
Performance,20,3,2,2,1,1,1,1,5,14
Effort ,10,5,3,7,4,3,9,1,1,6
Frustration ,14,2,1,1,4,2,1,1,1,3
,,,,,,,,,,
,,,,,,,,,,
Harder Version,,,,,,,,,,
,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Mental Demand,10,17,16,18,18,18,10,12,14,12
Physical Demand,9,9,15,15,13,10,14,5,5,1
Temporal Demand,20,16,5,10,1,3,3,10,7,9
Performance,6,10,4,1,10,10,1,5,5,4
Effort ,10,18,18,18,10,10,12,14,14,11
Frustration ,8,8,1,1,20,20,4,15,15,7
