Basic Version,,,,,,,,,,
,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Q1,1,3,3,4,3,2,3,2,3,2
Q2,3,1,1,1,1,1,3,4,2,1
Q3,1,4,5,5,5,3,2,2,1,4
Q4,1,3,1,1,1,1,2,3,1,1
Q5,3,4,4,2,3,4,3,3,3,3
Q6,2,1,1,1,3,3,1,3,2,2
Q7,3,5,4,5,4,4,1,3,4,5
Q8,3,1,1,1,1,1,3,3,3,3
Q9,1,4,4,5,5,5,5,4,4,3
Q10,1,1,1,1,1,1,1,2,2,2
,,,,,,,,,,
,,,,,,,,,,
Harder Version,,,,,,,,,,
,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Q1,4,4,4,4,1,1,4,2,3,3
Q2,2,3,1,1,1,1,2,4,5,2
Q3,3,5,4,4,2,2,3,4,4,4
Q4,1,4,1,4,1,1,2,5,4,1
Q5,2,4,5,5,2,4,5,1,1,5
Q6,2,2,1,1,4,3,1,5,4,1
Q7,4,4,5,5,3,4,1,1,4,4
Q8,1,1,1,1,1,1,3,3,3,2
Q9,3,5,2,3,3,3,5,3,2,3
Q10,1,3,1,1,3,2,1,4,4,2
